Time (s),Position (m)
2.780000,41.263818
2.790000,41.360494
2.800000,41.456800
2.810000,41.552734
2.820000,41.648298
2.830000,41.743490
2.840000,41.838312
2.850000,41.932762
2.860000,42.026842
2.870000,42.120550
2.880000,42.213888
2.890000,42.306854
2.900000,42.399450
2.910000,42.491674
2.920000,42.583528
2.930000,42.675010
2.940000,42.766122
2.950000,42.856862
2.960000,42.947232
2.970000,43.037230
2.980000,43.126858
2.990000,43.216114
3.000000,43.305000
3.010000,43.393514
3.020000,43.481658
3.030000,43.569430
3.040000,43.656832
3.050000,43.743862
3.060000,43.830522
3.070000,43.916810
3.080000,44.002728
3.090000,44.088274
3.100000,44.173450
3.110000,44.258254
3.120000,44.342688
3.130000,44.426750
3.140000,44.510442
3.150000,44.593762
3.160000,44.676712
3.170000,44.759290
3.180000,44.841498
3.190000,44.923334
3.200000,45.004800
3.210000,45.085894
3.220000,45.166618
3.230000,45.246970
3.240000,45.326952
3.250000,45.406562
3.260000,45.485802
3.270000,45.564670
3.280000,45.643168
3.290000,45.721294
3.300000,45.799050
3.310000,45.876434
3.320000,45.953448
3.330000,46.030090
3.340000,46.106362
3.350000,46.182262
3.360000,46.257792
3.370000,46.332950
3.380000,46.407738
3.390000,46.482154
3.400000,46.556200
3.410000,46.629874
3.420000,46.703178
3.430000,46.776110
3.440000,46.848672
3.450000,46.920862
3.460000,46.992682
3.470000,47.064130
3.480000,47.135208
3.490000,47.205914
3.500000,47.276250
3.510000,47.346214
3.520000,47.415808
3.530000,47.485030
3.540000,47.553882
3.550000,47.622362
3.560000,47.690472
3.570000,47.758210
3.580000,47.825578
3.590000,47.892574
3.600000,47.959200
3.610000,48.025454
3.620000,48.091338
3.630000,48.156850
3.640000,48.221992
3.650000,48.286762
3.660000,48.351162
3.670000,48.415190
3.680000,48.478848
3.690000,48.542134
3.700000,48.605050
3.710000,48.667594
3.720000,48.729768
3.730000,48.791570
3.740000,48.853002
3.750000,48.914062
3.760000,48.974752
3.770000,49.035070
3.780000,49.095018
3.790000,49.154594
3.800000,49.213800
3.810000,49.272634
3.820000,49.331098
3.830000,49.389190
3.840000,49.446912
3.850000,49.504262
3.860000,49.561242
3.870000,49.617850
3.880000,49.674088
3.890000,49.729954
3.900000,49.785450
3.910000,49.840574
3.920000,49.895328
3.930000,49.949710
3.940000,50.003722
3.950000,50.057362
3.960000,50.110632
3.970000,50.163530
3.980000,50.216058
3.990000,50.268214
4.000000,50.320000
4.010000,50.371414
4.020000,50.422458
4.030000,50.473130
4.040000,50.523432
4.050000,50.573362
4.060000,50.622922
4.070000,50.672110
4.080000,50.720928
4.090000,50.769374
4.100000,50.817450
4.110000,50.865154
4.120000,50.912488
4.130000,50.959450
4.140000,51.006042
4.150000,51.052262
4.160000,51.098112
4.170000,51.143590
4.180000,51.188698
4.190000,51.233434
4.200000,51.277800
4.210000,51.321794
4.220000,51.365418
4.230000,51.408670
4.240000,51.451552
4.250000,51.494062
4.260000,51.536202
4.270000,51.577970
4.280000,51.619368
4.290000,51.660394
4.300000,51.701050
4.310000,51.741334
4.320000,51.781248
4.330000,51.820790
4.340000,51.859962
4.350000,51.898762
4.360000,51.937192
4.370000,51.975250
4.380000,52.012938
4.390000,52.050254
4.400000,52.087200
4.410000,52.123774
4.420000,52.159978
4.430000,52.195810
4.440000,52.231272
4.450000,52.266362
4.460000,52.301082
4.470000,52.335430
4.480000,52.369408
4.490000,52.403014
4.500000,52.436250
4.510000,52.469114
4.520000,52.501608
4.530000,52.533730
4.540000,52.565482
4.550000,52.596862
4.560000,52.627872
4.570000,52.658510
4.580000,52.688778
4.590000,52.718674
4.600000,52.748200
4.610000,52.777354
4.620000,52.806138
4.630000,52.834550
4.640000,52.862592
4.650000,52.890262
4.660000,52.917562
4.670000,52.944490
4.680000,52.971048
4.690000,52.997234
4.700000,53.023050
4.710000,53.048494
4.720000,53.073568
4.730000,53.098270
4.740000,53.122602
4.750000,53.146562
4.760000,53.170152
4.770000,53.193370
4.780000,53.216218
4.790000,53.238694
4.800000,53.260800
4.810000,53.282534
4.820000,53.303898
4.830000,53.324890
4.840000,53.345512
4.850000,53.365762
4.860000,53.385642
4.870000,53.405150
4.880000,53.424288
4.890000,53.443054
4.900000,53.461450
4.910000,53.479474
4.920000,53.497128
4.930000,53.514410
4.940000,53.531322
4.950000,53.547862
4.960000,53.564032
4.970000,53.579830
4.980000,53.595258
4.990000,53.610314
5.000000,53.625000
5.010000,53.639314
5.020000,53.653258
5.030000,53.666830
5.040000,53.680032
5.050000,53.692862
5.060000,53.705322
5.070000,53.717410
5.080000,53.729128
5.090000,53.740474
5.100000,53.751450
5.110000,53.762054
5.120000,53.772288
5.130000,53.782150
5.140000,53.791642
5.150000,53.800762
5.160000,53.809512
5.170000,53.817890
5.180000,53.825898
5.190000,53.833534
5.200000,53.840800
5.210000,53.847694
5.220000,53.854218
5.230000,53.860370
5.240000,53.866152
5.250000,53.871562
5.260000,53.876602
5.270000,53.881270
5.280000,53.885568
5.290000,53.889494
5.300000,53.893050
5.310000,53.896234
5.320000,53.899048
5.330000,53.901490
5.340000,53.903562
5.350000,53.905262
