Time (s),Position (m)
2.780000,17.705143
2.790000,17.632028
2.800000,17.557932
2.810000,17.482855
2.820000,17.406798
2.830000,17.329760
2.840000,17.251742
2.850000,17.172743
2.860000,17.092763
2.870000,17.011802
2.880000,16.929861
2.890000,16.846939
2.900000,16.763037
2.910000,16.678154
2.920000,16.592290
2.930000,16.505445
2.940000,16.417620
2.950000,16.328814
2.960000,16.239028
2.970000,16.148261
2.980000,16.056513
2.990000,15.963784
3.000000,15.870075
3.010000,15.775385
3.020000,15.679715
3.030000,15.583064
3.040000,15.485432
3.050000,15.386819
3.060000,15.287226
3.070000,15.186652
3.080000,15.085098
3.090000,14.982563
3.100000,14.879047
3.110000,14.774550
3.120000,14.669073
3.130000,14.562615
3.140000,14.455177
3.150000,14.346758
3.160000,14.237358
3.170000,14.126977
3.180000,14.015616
3.190000,13.903274
3.200000,13.789952
3.210000,13.675649
3.220000,13.560365
3.230000,13.444101
3.240000,13.326855
3.250000,13.208630
3.260000,13.089423
3.270000,12.969236
3.280000,12.848068
3.290000,12.725920
3.300000,12.602791
3.310000,12.478681
3.320000,12.353591
3.330000,12.227519
3.340000,12.100468
3.350000,11.972435
3.360000,11.843422
3.370000,11.713428
3.380000,11.582454
3.390000,11.450499
3.400000,11.317563
3.410000,11.183647
3.420000,11.048749
3.430000,10.912872
3.440000,10.776013
3.450000,10.638174
3.460000,10.499354
3.470000,10.359554
3.480000,10.218773
3.490000,10.077011
3.500000,9.934269
3.510000,9.790546
3.520000,9.645842
3.530000,9.500158
3.540000,9.353492
3.550000,9.205847
3.560000,9.057220
3.570000,8.907613
3.580000,8.757025
3.590000,8.605457
3.600000,8.452908
3.610000,8.299378
3.620000,8.144868
3.630000,7.989377
3.640000,7.832905
3.650000,7.675453
3.660000,7.517020
3.670000,7.357606
3.680000,7.197212
3.690000,7.035836
3.700000,6.873481
3.710000,6.710144
3.720000,6.545827
3.730000,6.380530
3.740000,6.214251
3.750000,6.046992
3.760000,5.878752
3.770000,5.709532
3.780000,5.539331
3.790000,5.368149
3.800000,5.195987
3.810000,5.022844
3.820000,4.848720
3.830000,4.673616
3.840000,4.497531
3.850000,4.320465
3.860000,4.142419
3.870000,3.963392
3.880000,3.783384
3.890000,3.602396
3.900000,3.420427
3.910000,3.237477
3.920000,3.053547
3.930000,2.868636
3.940000,2.682744
3.950000,2.495872
3.960000,2.308019
3.970000,2.119185
3.980000,1.929371
3.990000,1.738576
4.000000,1.546800
4.010000,1.354044
4.020000,1.160307
4.030000,0.965589
4.040000,0.769891
4.050000,0.573212
4.060000,0.375552
4.070000,0.176912
4.080000,0.000000
