Time (s),Position (m)
3.180000,7.223370
3.190000,7.068243
3.200000,6.912000
3.210000,6.754643
3.220000,6.596170
3.230000,6.436583
3.240000,6.275880
3.250000,6.114063
3.260000,5.951130
3.270000,5.787083
3.280000,5.621920
3.290000,5.455643
3.300000,5.288250
3.310000,5.119743
3.320000,4.950120
3.330000,4.779383
3.340000,4.607530
3.350000,4.434563
3.360000,4.260480
3.370000,4.085283
3.380000,3.908970
3.390000,3.731543
3.400000,3.553000
3.410000,3.373343
3.420000,3.192570
3.430000,3.010683
3.440000,2.827680
3.450000,2.643563
3.460000,2.458330
3.470000,2.271983
3.480000,2.084520
3.490000,1.895943
3.500000,1.706250
3.510000,1.515443
3.520000,1.323520
3.530000,1.130483
3.540000,0.936330
3.550000,0.741063
3.560000,0.544680
3.570000,0.347183
3.580000,0.148570
3.590000,0.000000
